funeral_type,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PastoralPriest_ParishChurch,27253,27126,26324,26370,25909,24945,24159,22682,21209,21745,21536,22173,22001,21735,21845,22594
PastoralPriest_OtherChurch,9208,9003,8942,8569,8619,8036,7653,7202,7428,7570,7452,7416,7696,7205,6819,7019
OtherPriest_ParishChurch,2964,2911,2954,2932,2747,2627,2669,2659,2789,2826,2746,2772,2983,2827,2453,2604
OtherPriest_OtherChurch,10332,10439,10531,11020,10804,10521,10790,10767,11308,11852,12042,12245,12833,12504,12932,13827
total_natchurch_funerals,49757,49479,48751,48891,48079,46129,45271,43310,42734,43993,43776,44606,45513,44271,44049,46044
